,Smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
86,O=C(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,405.8890000000002,4.235300000000002,2.0,5.0,6.060480747381382
87,CN1Cc2ccc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)cc2C1,387.8700000000001,5.059700000000004,1.0,3.0,5.958607314841775
88,CC(=O)N1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,429.90700000000015,5.018900000000005,1.0,3.0,5.886056647693163
89,Clc1c(CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)ccc2[nH]cnc12,380.843,3.9625000000000004,4.0,6.0,6.441291429466834
90,Clc1ccccc1Cc1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,391.9060000000002,4.595100000000002,2.0,4.0,7.080921907623926
91,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,350.46400000000006,6.203600000000003,2.0,4.0,5.6020599913279625
92,COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1,406.4900000000001,2.5027,3.0,8.0,5.266000713461613
93,O=C(c1ccc(Cl)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,440.3340000000003,4.888700000000004,2.0,5.0,8.1249387366083
94,CC(=O)N1CCC(n2cc(-c3cnc4[nH]cc(C(=O)c5ccc(CO)cc5Cl)c4c3)cn2)CC1,477.95200000000034,3.986500000000002,2.0,6.0,7.259637310505756
95,N#Cc1ccc(Cl)c(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c1,430.8990000000002,4.106980000000002,2.0,6.0,6.187086643357144
96,N#Cc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,396.4540000000002,3.4535800000000014,2.0,6.0,6.130768280269024
97,O=C(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,405.8890000000002,4.235300000000002,2.0,5.0,7.7447274948966935
98,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,425.89200000000005,3.664520000000002,2.0,6.0,5.6777807052660805
99,O=C(c1ccc(COc2ccccc2)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,477.5680000000003,5.160900000000003,2.0,6.0,7.075720713938118
100,Cc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,385.47100000000023,3.8903200000000027,2.0,5.0,7.200659450546418
101,COc1cc(Nc2ncc(Br)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)[C@H](C)C1,507.4360000000003,4.864680000000005,1.0,7.0,7.142667503568731
